Feature,Importance,Std
Retail,-0.04615384615384612,0.03768445758127963
Processing,-0.02307692307692304,0.060078843660820405
Farm,0.0,0.0
Land use change,0.0,0.0
Animal Feed,0.007692307692307698,0.023076923076923096
Transport,0.04615384615384619,0.03768445758127969
Packaging,0.07692307692307697,0.034401045807689073
