mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1489652156829834,0.1399044230812762,0.018184185028076172,0.001806935456411343,0.01,3,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
0.0878532886505127,0.020167306484831855,0.019913387298583985,0.004933488278295867,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.6666666666666666,0.0,0.6666666666666666,0.4,0.6666666666666666,0.48,0.26127890589687236,22
0.1291837215423584,0.01982509437391015,0.015114545822143555,0.0022728000392660966,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",1.0,0.0,0.6666666666666666,0.4,0.6666666666666666,0.5466666666666666,0.33306655991458123,19
0.060938549041748044,0.013457261271078142,0.016483879089355467,0.0051145611439682315,0.01,5,50,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
0.08682880401611329,0.012904714934889925,0.01215968132019043,0.0011035526797250872,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.6666666666666666,0.0,0.6666666666666666,0.4,0.6666666666666666,0.48,0.26127890589687236,22
0.143685245513916,0.015824546994070064,0.0173642635345459,0.006989657609842338,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",1.0,0.0,0.6666666666666666,0.4,0.6666666666666666,0.5466666666666666,0.33306655991458123,19
0.12055492401123047,0.048566821466484465,0.014862346649169921,0.0041611615707613315,0.01,7,50,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 50}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
0.1481781005859375,0.04663926152520951,0.017737674713134765,0.0030034352614808245,0.01,7,100,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.6666666666666666,0.0,0.6666666666666666,0.4,0.6666666666666666,0.48,0.26127890589687236,22
0.16442766189575195,0.04360923373264019,0.0227480411529541,0.010275934266950523,0.01,7,200,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",1.0,0.0,0.6666666666666666,0.4,0.6666666666666666,0.5466666666666666,0.33306655991458123,19
0.10211315155029296,0.04041617690975283,0.012634515762329102,0.002053707509852753,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.09637150764465333,0.03912239973655652,0.015509843826293945,0.004467901946461964,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
0.20807456970214844,0.09617165460636734,0.029580020904541017,0.010386693940998589,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5666666666666667,0.3265986323710904,1
