,High_Impact
High_Impact,1.0
Processing,0.6777708256030371
Animal Feed,0.6473546029212427
Land use change,0.6170963033041901
Farm,0.5788995805909555
Retail,0.4266438822929556
Transport,0.33796318470968734
Packaging,0.33734867570763866
